Stimulus,CID,IsomericSMILES,Descriptors,sweet,floral,minty,pungent
74338-72-0,9815427,CC(C)C(=O)C(C)(C)CC=C(C)C,sweet;petitgrain;herbal;sage clary sage;bergamot;tropical;citrus,1,0,0,0
126-90-9,67179,CC(=CCC[C@@](C)(C=C)O)C,floral;lavender;sweet;petitgrain,1,1,0,0
39770-05-3,162392,C=CCCCCCCCC=O,aldehydic;rose;floral;dewy;waxy,0,1,0,0
8007-35-0,6632,CC1CCC(C=C1)(C(C)C)OC(=O)C,sweet;floral;herbal;lavender;bergamot;pine,1,1,0,0
4829-04-3,20970,C1CSCS1,sweet;onion;sulfurous;onion cooked onion,1,0,0,0
4864-61-3,521238,CCCCCC(CC)OC(=O)C,aldehydic;fatty;rose;herbal;apple;anisic;fresh;green;citrus;bergamot;woody;minty;grapefruit;waxy,0,0,1,0
290311-72-7,5320530,C1=CC=C(C=C1)CCCOC(=O)/C=C/C2=CC=CC=C2,sweet;apricot;spicy;balsamic,1,0,0,0
109-42-2,61027,CCCCOC(=O)CCCCCCCCC=C,fatty;floral;winey;fruity;fusel;buttery,0,1,0,0
25485-88-5,101330,C1CCC(CC1)OC(=O)C2=CC=CC=C2O,floral;sweet;balsamic;green,1,1,0,0
20815-27-4,72919,CCCCCCCC1=CC=CC=N1,floral;geranium;earthy;green,0,1,0,0
10402-47-8,5365850,CCCCC(=O)OC/C=C(\C)/CCC=C(C)C,floral;fruity;pineapple;rose,0,1,0,0
63128-04-1,20268662,CC1CC=C(C2(C1(C)C)C=CC(O2)C)C,minty;fruity;currant black currant,0,0,1,0
93-89-0,7165,CCOC(=O)C1=CC=CC=C1,dry;musty;sweet;medicinal;grape;fruity;cherry;minty;wintergreen,1,0,1,0
1504-74-1,15173,COC1=CC=CC=C1C=CC=O,sweet;resinous;spicy;cinnamon;cassia;oily;cinnamyl;paper;woody,1,0,0,0
103-38-8,7651,CC(C)CC(=O)OCC1=CC=CC=C1,sweet;musty;herbal;fruity;pineapple;apple;powdery,1,0,0,0
67874-67-3,105896,CCCCCCCCCC=NC1=CC=CC=C1C(=O)OC,sweet;dry;fatty;floral;fresh;orangeflower;waxy,1,1,0,0
112-44-7,8186,CCCCCCCCCCC=O,aldehydic;fatty;floral;watermelon;pineapple;cilantro;orange;green;soapy;cloth laundered cloth;citrus;waxy,0,1,0,0
105-79-3,7775,CCCCCC(=O)OCC(C)C,sweet;earthy;estery;sour;fruity;pineapple;apple green apple;green;tropical;apple skin;peach,1,0,0,0
86-26-0,6835,COC1=CC=CC=C1C2=CC=CC=C2,floral;fruity;rose,0,1,0,0
72175-33-8,166246,CC1(C(O1)C(=O)OC)C2CC3CC2C=C3,magnolia;floral;rose;melon;fruity;clover;sugar;jasmin,0,1,0,0
3613-30-7S,6999891,C[C@@H](CCCC(C)(C)OC)CC=O,sweet;floral;melon;fresh;lily,1,1,0,0
109-20-6,6433150,CC(C)CC(=O)OCC/C(=C/CC=C(C)C)/C,sweet;blueberry;herbal;melon;fruity;pineapple;oily;apple;green,1,0,0,0
37837-44-8,162275,COC(=O)C1=CC=CC=C1N=CC2=CC=CC=C2,sweet;almond bitter almond;floral;fruity;cherry,1,1,0,0
2051-96-9,98054,CC(C(=O)OCC1=CC=CC=C1)O,floral;buttery;fruity;fatty,0,1,0,0
68820-35-9,5283357,CCCCCC/C=C/CCC=O,aldehydic;fatty;floral;herbal;citrus,0,1,0,0
10031-93-3,61452,CCOC(=O)CCCC1=CC=CC=C1,sweet;fruity;plum,1,0,0,0
142-19-8,8878,CCCCCCC(=O)OCC=C,sweet;fermented;ripe;banana;cognac;fruity;pineapple;fusel;waxy,1,0,0,0
611-13-2,11902,COC(=O)C1=CC=CO1,sweet;mushroom;fruity;tobacco;fungal,1,0,0,0
122-46-3,67406,CC1=CC(=CC=C1)OC(=O)C,floral;narcissus;phenolic;pungent,0,1,0,1
699-02-5,95294,CC1=CC=C(C=C1)CCO,floral;balsamic;rose;green,0,1,0,0
142-83-6,637564,C/C=C/C=C/C=O,sweet;aldehydic;spicy;floral;fruity;green;citrus;waxy,1,1,0,0
67936-13-4,3017811,CC1=NC(SC1)C(C)C,sweet;sulfurous;cocoa;toasted;chocolate,1,0,0,0
67634-17-7,106743,CC1C=C(CCC1CO)C,petal;floral;herbal;fresh;green;minty;gardenia,0,1,1,0
101-49-5,7562,C1COC(O1)CC2=CC=CC=C2,sweet;honey;green;hyacinth;waxy,1,0,0,0
84697-09-6Z,6432962,CCCCC/C(=C/C1=CC=C(C=C1)C)/C=O,berry;floral;mimosa;green;tropical;heliotrope,0,1,0,0
97-89-2,60985,CC(C)C(=O)OCCC(C)CCC=C(C)C,sweet;floral;fruity;green;geranium;tropical;citrus,1,1,0,0
112-12-9,8163,CCCCCCCCCC(=O)C,fatty;floral;fruity;pineapple;creamy;orris;ketonic;waxy,0,1,0,0
84434-20-8,6365957,CC/C=C/CCOC(=O)CC(=O)C,floral;earthy;green,0,1,0,0
126-64-7,31353,CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1)C,plum;ylang;floral;herbal;grape;tuberose;bergamot;lily;tropical;genet,0,1,0,0
19141-40-3,177050,C[C@@H](CO)C1=CC=CC=C1,foliage;floral;fruity;hawthorn;peony;hyacinth,0,1,0,0
89-79-2,7057942,C[C@H]1CC[C@@H]([C@@H](C1)O)C(=C)C,cooling;woody;minty;medicinal,0,0,1,0
35044-68-9,32052,CC=CC(=O)C1=C(CCCC1(C)C)C,plum;floral;rose;honey;fruity;tobacco;currant black currant,0,1,0,0
60826-15-5,108518,CCCCCCC(CC)OC(=O)C,floral;herbal;fruity;ethereal,0,1,0,0
130786-09-3,20831761,CCC/C=C(/C#N)\C1=CC=CC=C1,metallic;marine;floral;herbal;orchid;clover;green;waxy,0,1,0,0
1064678-08-5,46195362,CCCC1OCCC(S1)C,sweet;sulfurous;garlic;fruity;lychee;pear;onion,1,0,0,0
1331-92-6,1623625,CCCCC/C(=C\C1=CC=CC=C1)/C=O,floral,0,1,0,0
104-65-4,7712,C1=CC=C(C=C1)C=CCOC=O,floral;herbal;fruity;cinnamyl;balsamic;green;narcissus,0,1,0,0
103-07-1,7633,CC(=O)OC(C)(C)CCC1=CC=CC=C1,sweet;leafy;floral;rose;balsamic;green;narcissus,1,1,0,0
15186-51-3,84825,CC1=C(OC=C1)CC=C(C)C,caramellic;minty;green,0,0,1,0
1073-11-6,102550,CC1(CCC(=O)O1)C=C,minty;fruity,0,0,1,0
5468-06-4,230525,CC1C(OC(O1)CC2=CC=CC=C2)C,floral;earthy;sweet,1,1,0,0
629-40-3,12385,C(CCCC#N)CCC#N,sweet;mandarin;floral;fresh;citrus;waxy,1,1,0,0
7785-33-3,5367785,C/C=C(\C)/C(=O)OC/C=C(\C)/CCC=C(C)C,sweet;floral;herbal;fruity;geranium,1,1,0,0
72429-08-4,3085817,C[C@@H]1C[C@H]2CC(CO[C@@H]2C[C@@H]1C)(C)C,petitgrain;floral;herbal;cranberry;neroli;woody;grapefruit,0,1,0,0
16409-46-4,565690,CC1CCC(C(C1)OC(=O)CC(C)C)C(C)C,cooling;woody;fruity;sweet,1,0,0,0
109-60-4,7997,CCCOC(=O)C,sweet;solvent;fruity;pear;fusel;raspberry;celery;pungent,1,0,0,1
5932-68-3,853433,C/C=C/C1=CC(=C(C=C1)O)OC,sweet;spicy;floral;phenolic;carnation,1,1,0,0
51115-70-9,3016598,CCC(C(C)C)(C(C)C)C(=O)NCC,cooling;minty,0,0,1,0
290-37-9,9261,C1=CN=CC=N1,sweet;hazelnut roasted hazelnut;nutty;barley roasted barley;roasted;hazelnut;pungent;corn,1,0,0,1
87-25-2,6877,CCOC(=O)C1=CC=CC=C1N,sweet;floral;grape;orangeflower;wintergreen,1,1,0,0
180348-60-1,22182954,CC(C)CCCCOC(=O)C,sweet;minty,1,0,1,0
131766-73-9,57483300,CCCC1CC(CCO1)(C)OC(=O)C,tea;floral;herbal;sage clary sage;fruity;saffron,0,1,0,0
815580-59-7,12082921,CC1C=CCC(C1C(=O)OC)(C)C,floral;fruity;saffron;rose,0,1,0,0
99-85-4,7461,CC1=CCC(=CC1)C(C)C,sweet;lime;herbal;terpenic;oily;lemon;woody;tropical;citrus,1,0,0,0
34131-98-1,118134,CC(C)C1CCC2CC(=O)CCC2C1,rhubarb;floral;vetiver;green;woody;grapefruit;gardenia,0,1,0,0
4602-84-0,3327,CC(=CCCC(=CCCC(=CCO)C)C)C,sweet;linden;floral;fresh;mild;angelica,1,1,0,0
94278-26-9,15225386,COC(=O)CCSCC1=CC=CO1,sweet;earthy;fruity,1,0,0,0
2094-69-1,74977,CC(C)(C)C(=O)OCC1=CC=CC=C1,floral;herbal;chamomile,0,1,0,0
4180-23-8,637563,C/C=C/C1=CC=C(C=C1)OC,sweet;anise;mimosa;licorice,1,0,0,0
118-93-4,8375,CC(=O)C1=CC=CC=C1O,sweet;almond bitter almond;honey;melon;herbal;phenolic;tobacco;hawthorn;cherry;tropical;sharp,1,0,0,0
37778-99-7,447661,C[C@H](CO)C1=CC=CC=C1,floral,0,1,0,0
765-87-7,13006,C1CCC(=O)C(=O)C1,sweet;caramellic;nutty;maple;brothy;nut skin;acorn,1,0,0,0
123-68-2,31266,CCCCCC(=O)OCC=C,sweet;juicy;rummy;estery;fatty;cognac;fruity;pineapple;ethereal;arrack;tropical,1,0,0,0
143-13-5,8918,CCCCCCCCCOC(=O)C,sweet;clean;fruity;green;fruit tropical fruit;waxy,1,0,0,0
93-58-3,7150,COC(=O)C1=CC=CC=C1,floral;cananga;phenolic;almond;wintergreen,0,1,0,0
637-64-9,12506,CC(=O)OCC1CCCO1,sweet;rummy;caramellic;cognac;fruity;nutty;tequila;brown;ethereal;cooked,1,0,0,0
123-38-6,527,CCC=O,meaty;cocoa;pungent;nutty;winey;cognac;grape;whiskey;ethereal;earthy;alcoholic;brandy,0,0,0,1
142227-90-5,15953432,CCCCCC1=C(COC1=O)C,floral;fruity,0,1,0,0
2345-28-0,61303,CCCCCCCCCCCCCC(=O)C,fatty;floral;oily;burnt;fresh;jasmin;celery;waxy,0,1,0,0
134359-15-2,9942315,CC(=CCCC1(CCC(=O)O1)C)C,sweet;apple;fruity,1,0,0,0
195863-84-4,152743294,C[C@H]1CC[C@H]([C@@H](C1)OCC(C)(CO)O)C(C)C,cooling;minty,0,0,1,0
5462-06-6,64813,CC(CC1=CC=C(C=C1)OC)C=O,sweet;anise;basil;anisic;raspberry;green;fennel,1,0,0,0
109-97-7,8027,C1=CNC=C1,sweet;nutty;warm;ethereal,1,0,0,0
89-81-6,6987,CC1=CC(=O)C(CC1)C(C)C,camphoreous;herbal;minty;medicinal,0,0,1,0
21963-26-8,89559,CCCCCC1C=CC(=O)O1,minty;fruity,0,0,1,0
65416-14-0,3354132,CC1=C(C(=O)C=CO1)OC(=O)C(C)C,sweet;cotton candy;berry;caramellic;strawberry;fruity;burnt;jammy;sugar;fruit dried fruit;tropical,1,0,0,0
93-55-0,7148,CCC(=O)C1=CC=CC=C1,lilac;floral;herbal;hawthorn;cherry;aromatic,0,1,0,0
4346-18-3,20354,CCCC(=O)OC1=CC=CC=C1,sweet;floral,1,1,0,0
88-29-9,6930,CCC1=CC2=C(C=C1C(=O)C)C(CCC2(C)C)(C)C,sweet;ambrette;musk,1,0,0,0
122-84-9,31231,CC(=O)CC1=CC=C(C=C1)OC,sweet;spicy;fruity;anisic;creamy;balsamic;green;licorice;fennel,1,0,0,0
539-88-8,10883,CCOC(=O)CCC(=O)C,sweet;rhubarb;berry;floral;melon;fruity;pineapple;green;waxy,1,1,0,0
151-19-9,9027,CCC(C)CCC(C)(CC)O,sweet;blueberry;floral;rose;bois de rose;fresh;woody,1,1,0,0
592-88-1,11617,C=CCSCC=C,metallic;sulfurous;garlic;horseradish;onion;pungent,0,0,0,1
5077-67-8,521300,CCC(=O)CO,malty;musty;sweet;butterscotch;grain;coffee;brown,1,0,0,0
135-02-4,8658,COC1=CC=CC=C1C=O,sweet;vanilla;guaiacol;powdery;anisic;hawthorn;almond,1,0,0,0
505-57-7,10460,CCCC=CC=O,sweet;vegetable;almond bitter almond;leafy;plum;fruity;apple;green,1,0,0,0
105-01-1,7733,CC(C)COC(=O)CCC1=CC=CO1,floral;fruity;pineapple;winey;woody,0,1,0,0
10522-18-6,61524,CCCCCCCCC#CC(=O)OC,meaty;fatty;floral;fruity;violet;green;milky;waxy,0,1,0,0
93-29-8,7137,CC=CC1=CC(=C(C=C1)OC(=O)C)OC,sweet;spicy;floral;powdery;carnation;balsam,1,1,0,0
25634-93-9,117568,CC1=CC(=CC=C1)CCCCCO,floral;geranium;rose;waxy,0,1,0,0
1323-75-7,73557527,CC(=CCCC1(C2CCC(C2)C1=C)C)COC(=O)CC3=CC=CC=C3,floral;woody;sandalwood;honey,0,1,0,0
NF0563,14662926,CC/C=C/C(=O)C(OC)OC,sweet;earthy;camphor;warm;patchouli;minty,1,0,1,0
2436-90-0,17090,CC(CCC=C(C)C)C=C,floral;herbal;terpenic;rose;citrus,0,1,0,0
92-48-8,7092,CC1=CC2=C(C=C1)OC(=O)C=C2,sweet;vanilla;floral;coconut;powdery;creamy;cinnamyl;coumarinic;earthy;tonka,1,1,0,0
77-53-2,65575,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O,dry;woody;cedarwood;sweet,1,0,0,0
111753-62-9,3034267,CC(CC1=CC=C(C=C1)OC)C=NC2=CC=CC=C2C(=O)OC,sweet;anise;spicy;cortex;floral;powdery;mimosa;green;hawthorn,1,1,0,0
29548-30-9,94403,CC(=CCCC(=CCCC(=CCOC(=O)C)C)C)C,metallic;cortex;floral;rose;orchid;muguet;green;citrus;waxy,0,1,0,0
106-33-2,7800,CCCCCCCCCCCC(=O)OCC,sweet;clean;floral;soapy;waxy,1,1,0,0
646-01-5,563,CSCCC(=O)O,sweet;sulfurous,1,0,0,0
60770-00-5,13013009,CCOC(=O)C1=C(C=C(C=C1)C)O,floral;animal;ylang,0,1,0,0
437770-28-0,14614417,CC(CCC=C(C)C)CC(C)(C)O,floral;citronella;grapefruit;citrus,0,1,0,0
7392-19-0,522514,CC1(CCCC(O1)(C)C=C)C,sweet;floral;herbal;camphoreous;cooling;fresh;citrus;woody;minty;rosemary,1,1,1,0
66068-84-6,106673,CC1C2CC(C1(C)C)CC2C3CCC(CC3)O,sweet;clean;balsamic;sandalwood;woody,1,0,0,0
30168-23-1,6438291,C1CC2C(C1)C\3CC2C/C3=C\CCC=O,sweet;aldehydic;floral;muguet;waxy,1,1,0,0
7217-59-6,23642,COC1=CC=CC=C1S,sweet;meaty;spicy;sulfurous;sausage smoked sausage;powdery;phenolic,1,0,0,0
27625-35-0,520326,CCC(C)C(=O)OCCC(C)C,sweet;blueberry;fruity;winey;apple;cherry;citrus,1,0,0,0
NF0567,5352449,CC(=C)/C=C/CCC/C(=C/CCC(C)(C=C)O)/C,floral;woody;balsam,0,1,0,0
10024-57-4,61434,CCCCCCCCCCCC(=O)OC1=CC=C(C=C1)C,sweet;vanilla;floral;nutty;oily;balsamic,1,1,0,0
764-39-6,12993,CCC=CC=O,apple;orange;green;tomato;pungent,0,0,0,1
5953-76-4,5356352,C/C=C(/C)\C(=O)OC,pungent;ethereal,0,0,0,1
122-40-7,31209,CCCCCC(=CC1=CC=CC=C1)C=O,sweet;floral;herbal;fruity;oily;powdery;green;jasmin;tropical,1,1,0,0
122-70-3,31225,CCC(=O)OCCC1=CC=CC=C1,floral;honey;rose;fruity;red;styrax;balsam,0,1,0,0
220621-22-7,10125362,CC1CCC(C(C1)OC(=O)CCCC(=O)O)C(C)C,minty;menthol,0,0,1,0
33204-74-9,100031,CC(=C)C1CC2C(O2)(C(=O)C1)C,minty;spearmint,0,0,1,0
2758-18-1,17691,CC1=CC(=O)CC1,sweet;fruity;fatty,1,0,0,0
10580-25-3,114416,CCCCCC(=O)OCCC(C)CCC=C(C)C,floral;fruity;rose,0,1,0,0
589-35-5,11508,CCC(C)CCO,fermented;cocoa;cognac;winey;fruity;fusel;green;pungent,0,0,0,1
125476-23-5,6431224,C[C@@H]1[C@H](C(=O)C(=C1C)O)C,sweet;milky;dairy,1,0,0,0
495-76-1,10322,C1OC2=C(O1)C=C(C=C2)CO,sweet;vanilla;powdery,1,0,0,0
5420-98-4,5905098,CC1CCOC(O1)/C=C/C2=CC=CC=C2,sweet;spicy;cinnamon;warm;candy,1,0,0,0
7779-54-6,12678469,CCCCCCC(=O)CCOC(=O)C,floral;fruity;reseda;waxy,0,1,0,0
91-20-3,931,C1=CC=C2C=CC=CC2=C1,dry;resinous;pungent,0,0,0,1
64703-98-6,44390556,C=CCC1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,sweet,1,0,0,0
2835-39-4,17816,CC(C)CC(=O)OCC=C,sweet;banana;fruity;pineapple;apple;cherry;pungent,1,0,0,1
65416-26-4,6436993,CCOC(C)/C=C/C1=C(CCCC1(C)C)C,cedar;floral;fruity;apricot;raspberry;woody,0,1,0,0
4606-15-9,221641,CCCOC(=O)CC1=CC=CC=C1,sweet;floral;honey;rose;apricot,1,1,0,0
40918-97-6,1550890,C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2,sweet;spicy;cinnamon;cassia;floral;rose;cinnamyl;balsamic;jasmin,1,1,0,0
1079-01-2,11435490,CC(=O)OCC1=CC[C@@H]2C[C@H]1C2(C)C,sweet;cedar;floral;herbal;fruity;cooling;fresh;green;woody;citrus,1,1,0,0
3511-32-8,12711594,CC1=CC(=O)CO1,sweet;herbaceous,1,0,0,0
2235-83-8,16701,CC(=O)CCCC1=CC=CC=C1,floral;sweet pea,1,1,0,0
1728-46-7S,7004919,CC(C)(C)[C@@H]1CCCCC1=O,camphoreous;woody;minty;orris,0,0,1,0
6413-10-1,80865,CCOC(=O)CC1(OCCO1)C,sweet;plum;fruity;apple;green;woody;tropical,1,0,0,0
207983-28-6,547907,CC(CC(=O)OC)SC,sweet;cooked,1,0,0,0
111-12-6,8092,CCCCCC#CC(=O)OC,vegetable;leafy;fatty;floral;melon;cucumber;violet;fruity;violet leaf;green;waxy,0,1,0,0
73744-93-1,519764,CC(CCC=C(C)C)C1CCC(=C)C=C1,sweet;herbal;fruity,1,0,0,0
432-25-7,9895,CC1=C(C(CCC1)(C)C)C=O,sweet;clean;rose;herbal;fruity;tobacco;saffron;green;tropical,1,0,0,0
141-10-6,1757003,CC(=CCC/C(=C/C=C/C(=O)C)/C)C,sweet;dry;spicy;floral;dusty;powdery;balsamic;citrus;waxy,1,1,0,0
10482-55-0,5366155,C/C=C(/C)\C(=O)OCCC(C)C,floral;fruity;chamomile,0,1,0,0
3623-51-6,19243,C[C@@H]1CC[C@@H](C(C1)O)C(C)C,mentholic;cooling;minty,0,0,1,0
64-18-6,284,C(=O)O,fermented;acetic;fruity;vinegar;pungent;sharp,0,0,0,1
107797-26-2,183870,CCCCCC[C@@H]1CCC(=O)O1,sweet;fatty;caramellic;fruity;coconut,1,0,0,0
141-79-7,8858,CC(=CC(=O)C)C,vegetable;earthy;musty;nutty;woody;chemical;pungent;chocolate;acrylate,0,0,0,1
42075-45-6,65285,CCC(C)C(=O)SC,sweet;sulfurous;fruity;cabbage;tropical,1,0,0,0
1565-74-8,640199,CC[C@H](C1=CC=CC=C1)O,floral,0,1,0,0
431-03-8,650,CC(=O)C(=O)C,sweet;caramellic;creamy;pungent;buttery,1,0,0,1
23726-93-4,5366074,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,sweet;rose;honey;fruity;apple;tobacco,1,0,0,0
4077-47-8,61325,CC1C(=O)C(=C(O1)C)OC,sweet;vegetable;musty;meaty;sugar burnt sugar;mushroom;caramellic;potato;cocoa;fruity;wasabi;coffee;moldy;beany;nut skin;brandy,1,0,0,0
NF0300,10197810,C[C@@H](CCC(C)(C)O)C(C)C,aldehydic;floral;rose;soapy;citrus,0,1,0,0
59151-19-8,100968,CCCCCC1CC(=O)C=C(C1C(=O)OCC)C,sweet;anise;clean;floral;autumn;jasmin,1,1,0,0
1455-20-5,73818,CCCCC1=CC=CS1,fried;chicken;floral;fruity;milky,0,1,0,0
63429-28-7,5375218,CCC(=O)/C=C/C1=C(CCCC1(C)C)C,floral,0,1,0,0
109-49-9,7989,CC(=O)CCC=C,floral;ethereal,0,1,0,0
1370711-06-0,90266236,CCC(C(C)C)OC(=O)/C=C/C,sweet;fruity;fresh;sugar;woody,1,0,0,0
20307-84-0,12004383,CC(C)C1=C[C@H]([C@@](CC1)(C)C=C)C(=C)C,sweet;herbal;lavender;woody,1,0,0,0
61197-12-4,20313890,CC1=C(C=CO1)SSC2CCCCC2,sweet;meaty;rubbery;liver,1,0,0,0
774-55-0,69885,CC(=O)C1=CC2=C(CCCC2)C=C1,floral;orangeflower;grape;musk,0,1,0,0
42288-75-5,96325,C1CCC(CC1)OC(=O)CC2=CC=CC=C2,floral;honey;rose,0,1,0,0
97384-48-0,5463804,CC(CC1=CC=CC=C1)(C=C)C#N,sweet;aldehydic;spicy;peppery;herbal;green,1,0,0,0
30361-29-6,5367531,CCCCCC/C=C/C=C/C=O,sweet;spicy;fatty;chicken;caramellic;baked;oily;green;citrus;buttery;waxy,1,0,0,0
57856-81-2,93831,CCCCCCCCCC(=O)OCC=C,sweet;fruity;pineapple;fatty,1,0,0,0
98-00-0,7361,C1=COC(=C1)CO,sweet;musty;estery;sulfurous;caramellic;coffee;bready;brown;chemical;alcoholic,1,0,0,0
4166-20-5S,6997367,C[C@H]1C(=O)C(=C(O1)C)OC(=O)C,sweet;molasses;sugar burnt sugar;fatty;caramellic;fruity;bread baked;sugar brown sugar;tropical;toffee,1,0,0,0
23696-85-7,5366074,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,sweet;natural;plum;floral;rose;grape;fruity;raspberry;sugar;green;woody;earthy,1,1,0,0
106-36-5,7803,CCCOC(=O)CC,sweet;fruity;pineapple;winey;chemical;pungent;sharp,1,0,0,1
71477-77-5,20561539,CC1CC(=CCC1C(CC=C)O)C,berry;floral;herbal;fruity;licorice;green,0,1,0,0
64165-57-7,116562,CCC1OCC2(CCC=CC2)CO1,sweet;floral;herbal;rose;fruity;cashew,1,1,0,0
14173-25-2,84234,CSSC1=CC=CC=C1,turnup;pungent;sulfurous;radish,0,0,0,1
2244-16-8,16724,CC1=CC[C@@H](CC1=O)C(=C)C,minty;bready;spicy;caraway,0,0,1,0
6297-41-2,95539,CCCCOC(=O)C(C)CCC,floral;herbal;rose;fruity;chamomile;aromatic,0,1,0,0
4573-50-6,107561,CC1=CC(=O)[C@H](CC1)C(C)C,peppermint;minty;pungent,0,0,1,1
21661-99-4,6429282,CCCC/C=C\C=C\C=O,geranium;pungent;green,0,0,0,1
122-74-7,61052,CCC(=O)OCCCC1=CC=CC=C1,floral;fruity;mimosa;balsamic;hyacinth,0,1,0,0
31906-04-4,91604,CC(C)(CCCC1=CCC(CC1)C=O)O,cyclamen;rhubarb;floral;muguet;woody,0,1,0,0
93804-64-9,2839751,CC1COC(O1)CC(C)CCCC(C)(C)O,floral;lily;muguet;green,0,1,0,0
10402-52-5,25239,CC(COC(=O)C)C1=CC=CC=C1,sweet;lilac;floral;green;earthy;hyacinth,1,1,0,0
102-20-5,7601,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,sweet;fatty;floral;honey;rose;powdery;cinnamyl;balsamic;green,1,1,0,0
82185-41-9,522771,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2N,floral;muguet;citrus;lily;grapefruit,0,1,0,0
97-54-1,2723653,CC(=C)C1=CC(=C(C=C1)O)OC,sweet;spicy;floral;allspice;carnation;woody;clove,1,1,0,0
10599-70-9,61527,CC1=CC(=C(O1)C)C(=O)C,sweet;musty;cocoa;nutty;powdery;roasted;earthy;leathery;corn,1,0,0,0
63357-95-9,7173971,CC[C@@H]1CCC(=O)O1,sweet;herbal;hay;coconut,1,0,0,0
84560-00-9,3019960,CCCCCC1CCCC1O,tea;magnolia;floral;fruity;jasmin,0,1,0,0
7785-53-7,442501,CC1=CC[C@@H](CC1)C(C)(C)O,floral;lilac,0,1,0,0
89-82-7,442495,C[C@@H]1CCC(=C(C)C)C(=O)C1,sweet;metallic;sulfurous;herbal;buchu;camphoreous;fresh;peppermint;minty,1,0,1,0
50607-64-2,162595,CCCC(C)C=NC1=CC=CC=C1C(=O)OC,sweet;grape;fruity;green;cumin;citrus,1,0,0,0
108-64-5,7945,CCOC(=O)CC(C)C,sweet;estery;fruity;pineapple;apple;orange;green;tutti frutti;sharp,1,0,0,0
26946-66-7,3015339,CC1(CCC(CC1)C(C)(C)OC)OC,musty;minty;fruity;green,0,0,1,0
122-67-8E,778574,CC(C)COC(=O)/C=C/C1=CC=CC=C1,sweet;fruity;balsam;labdanum,1,0,0,0
93-54-9,7147,CCC(C1=CC=CC=C1)O,floral;sweet;balsamic,1,1,0,0
65652-33-7,22297788,CCCCCCOC(=O)/C(=C\C)/C,floral;jasmin;gardenia;green,0,1,0,0
3149-28-8,18467,COC1=NC=CN=C1,sweet;nutty;chocolate;cocoa,1,0,0,0
1319-88-6,5463840,C1=CC=C(C=C1)/C=C(/C(CO)O)\O,sweet;cherry;musty;fruity;almond;bitter,1,0,0,0
19902-08-0,10290825,CC1([C@@H]2CCC(=C)[C@H]1C2)C,sweet;terpenic;fresh;green;woody;hay;pine,1,0,0,0
55066-56-3,62092,CC1=CC=C(C=C1)OC(=O)CC(C)C,sweet;herbal;animal;tobacco,1,0,0,0
93-04-9,7119,COC1=CC2=CC=CC=C2C=C1,sweet;naphthyl;floral;blossom;orange;acacia;neroli,1,1,0,0
502-99-8,5320249,CC(=C)CC/C=C(\C)/C=C,floral;fruity;cloth laundered cloth,0,1,0,0
NF0653,10967107,C[C@H]1C(=O)OCCCCCCCCCCCCO1,sweet;ambergris;animal;nitromusk;ambrette;woody;musk,1,0,0,0
59557-05-0RSR,11413787,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CC(=O)C)C(C)C,minty,0,0,1,0
3779-61-1,5281553,CC(=CC/C=C(\C)/C=C)C,sweet;herbal,1,0,0,0
15051-81-7,6430754,CC1=C2C[C@@H](CC[C@@]2(CCC1)C)C(C)(C)O,sweet;woody;floral,1,1,0,0
13494-07-0,61634,CC1CC(C(=O)C1=O)C,sweet;molasses;sugar burnt sugar;caramellic;nutty;maple;whiskey;coffee;brown;sugar;toffee,1,0,0,0
127-91-3,14896,CC1(C2CCC(=C)C1C2)C,dry;resinous;spicy;nutmeg;peppery;herbal;eucalyptus;terpenic;camphoreous;cooling;fresh;green;woody;minty;hay;pine,0,0,1,0
540-18-1,10890,CCCCCOC(=O)CCC,sweet;banana;fruity;pineapple;cherry;tropical,1,0,0,0
78-92-2,6568,CCC(C)O,sweet;fruity;apricot,1,0,0,0
NF0299,10176245,C[C@H](CCC(C)(C)O)C(C)C,lilac;floral;terpenic;fruity;bois de rose,0,1,0,0
51755-66-9,65413,CCCC(CCO)SC,metallic;vegetable;spicy;sulfurous;leafy;wasabi;green;earthy;pungent,0,0,0,1
626-77-7,12293,CCCCCC(=O)OCCC,sweet;juicy;fruity;pineapple;green;tropical,1,0,0,0
89780-06-3,174766,CC1=CC2=C(C(=C1C=O)OC)C(CCC2(C)C)(C)C,sweet;woody;powdery;musk,1,0,0,0
475-20-7,10137,C[C@]12CCCC(C3[C@@H]1CCC3C2=C)(C)C,sweet;medicinal;rose;fir needle;woody,1,0,0,0
957136-80-0,25099817,CC1CCC(C1(C)C)CCCC(=O)O,sweet,1,0,0,0
5273-85-8,5318557,C/C=C/C1=CC(=C(C(=C1)OC)OC)OC,floral;spicy,0,1,0,0
